"Date","Match","Score","saison"
"14.05.2011","FC Koln - Schalke","2:1",2010
"14.05.2011","Bayern Munich - Stuttgart","2:1",2010
"14.05.2011","Dortmund - Eintracht Frankfurt","3:1",2010
"14.05.2011","Freiburg - Bayer Leverkusen","0:1",2010
"14.05.2011","Hamburger SV - B. Monchengladbach","1:1",2010
"14.05.2011","Hannover - Nurnberg","3:1",2010
"14.05.2011","Hoffenheim - Wolfsburg","1:3",2010
"14.05.2011","Kaiserslautern - Werder Bremen","3:2",2010
"14.05.2011","Mainz - St. Pauli","2:1",2010
"07.05.2011","Bayer Leverkusen - Hamburger SV","1:1",2010
"07.05.2011","B. Monchengladbach - Freiburg","2:0",2010
"07.05.2011","Eintracht Frankfurt - FC Koln","0:2",2010
"07.05.2011","Nurnberg - Hoffenheim","1:2",2010
"07.05.2011","Schalke - Mainz","1:3",2010
"07.05.2011","St. Pauli - Bayern Munich","1:8",2010
"07.05.2011","Stuttgart - Hannover","2:1",2010
"07.05.2011","Werder Bremen - Dortmund","2:0",2010
"07.05.2011","Wolfsburg - Kaiserslautern","1:2",2010
"30.04.2011","FC Koln - Bayer Leverkusen","2:0",2010
"30.04.2011","Bayern Munich - Schalke","4:1",2010
"30.04.2011","Dortmund - Nurnberg","2:0",2010
"30.04.2011","Hamburger SV - Freiburg","0:2",2010
"30.04.2011","Hannover - B. Monchengladbach","0:1",2010
"30.04.2011","Hoffenheim - Stuttgart","1:2",2010
"30.04.2011","Mainz - Eintracht Frankfurt","3:0",2010
"29.04.2011","Kaiserslautern - St. Pauli","2:0",2010
"29.04.2011","Werder Bremen - Wolfsburg","0:1",2010
"24.04.2011","Nurnberg - Mainz","0:0",2010
"24.04.2011","Wolfsburg - FC Koln","4:1",2010
"23.04.2011","Bayer Leverkusen - Hoffenheim","2:1",2010
"23.04.2011","B. Monchengladbach - Dortmund","1:0",2010
"23.04.2011","Eintracht Frankfurt - Bayern Munich","1:1",2010
"23.04.2011","Schalke - Kaiserslautern","0:1",2010
"23.04.2011","St. Pauli - Werder Bremen","1:3",2010
"23.04.2011","Stuttgart - Hamburger SV","3:0",2010
"21.04.2011","Freiburg - Hannover","1:3",2010
"17.04.2011","Bayern Munich - Bayer Leverkusen","5:1",2010
"17.04.2011","Dortmund - Freiburg","3:0",2010
"16.04.2011","FC Koln - Stuttgart","1:3",2010
"16.04.2011","Hamburger SV - Hannover","0:0",2010
"16.04.2011","Hoffenheim - Eintracht Frankfurt","1:0",2010
"16.04.2011","Kaiserslautern - Nurnberg","0:2",2010
"16.04.2011","Werder Bremen - Schalke","1:1",2010
"16.04.2011","Wolfsburg - St. Pauli","2:2",2010
"15.04.2011","Mainz - B. Monchengladbach","1:0",2010
"10.04.2011","Bayer Leverkusen - St. Pauli","2:1",2010
"10.04.2011","B. Monchengladbach - FC Koln","5:1",2010
"09.04.2011","Freiburg - Hoffenheim","3:2",2010
"09.04.2011","Hamburger SV - Dortmund","1:1",2010
"09.04.2011","Hannover - Mainz","2:0",2010
"09.04.2011","Nurnberg - Bayern Munich","1:1",2010
"09.04.2011","Schalke - Wolfsburg","1:0",2010
"09.04.2011","Stuttgart - Kaiserslautern","2:4",2010
"08.04.2011","Eintracht Frankfurt - Werder Bremen","1:1",2010
"03.04.2011","FC Koln - Nurnberg","1:0",2010
"03.04.2011","Wolfsburg - Eintracht Frankfurt","1:1",2010
"02.04.2011","Bayern Munich - B. Monchengladbach","1:0",2010
"02.04.2011","Dortmund - Hannover","4:1",2010
"02.04.2011","Hoffenheim - Hamburger SV","0:0",2010
"02.04.2011","Kaiserslautern - Bayer Leverkusen","0:1",2010
"02.04.2011","Mainz - Freiburg","1:1",2010
"02.04.2011","Werder Bremen - Stuttgart","1:1",2010
"01.04.2011","St. Pauli - Schalke","",2010
"20.03.2011","Bayer Leverkusen - Schalke","",2010
"20.03.2011","Stuttgart - Wolfsburg","",2010
"19.03.2011","Dortmund - Mainz","",2010
"19.03.2011","Eintracht Frankfurt - St. Pauli","",2010
"19.03.2011","Freiburg - Bayern Munich","1:2",2010
"19.03.2011","Hamburger SV - FC Koln","6:2",2010
"19.03.2011","Hannover - Hoffenheim","2:0",2010
"19.03.2011","Nurnberg - Werder Bremen","1:3",2010
"18.03.2011","B. Monchengladbach - Kaiserslautern","0:1",2010
"13.03.2011","Mainz - Bayer Leverkusen","0:1",2010
"13.03.2011","St. Pauli - Stuttgart","1:2",2010
"12.03.2011","Bayern Munich - Hamburger SV","6:0",2010
"12.03.2011","Hoffenheim - Dortmund","1:0",2010
"12.03.2011","Kaiserslautern - Freiburg","2:1",2010
"12.03.2011","Schalke - Eintracht Frankfurt","2:1",2010
"12.03.2011","Werder Bremen - B. Monchengladbach","1:1",2010
"12.03.2011","Wolfsburg - Nurnberg","1:2",2010
"11.03.2011","FC Koln - Hannover","4:0",2010
"06.03.2011","Freiburg - Werder Bremen","1:3",2010
"06.03.2011","Hamburger SV - Mainz","2:4",2010
"05.03.2011","Bayer Leverkusen - Wolfsburg","3:0",2010
"05.03.2011","B. Monchengladbach - Hoffenheim","2:0",2010
"05.03.2011","Eintracht Frankfurt - Kaiserslautern","0:0",2010
"05.03.2011","Hannover - Bayern Munich","3:1",2010
"05.03.2011","Nurnberg - St. Pauli","5:0",2010
"05.03.2011","Stuttgart - Schalke","1:0",2010
"04.03.2011","Dortmund - FC Koln","1:0",2010
"27.02.2011","Eintracht Frankfurt - Stuttgart","0:2",2010
"27.02.2011","Werder Bremen - Bayer Leverkusen","2:2",2010
"26.02.2011","FC Koln - Freiburg","1:0",2010
"26.02.2011","Bayern Munich - Dortmund","1:3",2010
"26.02.2011","Hoffenheim - Mainz","1:2",2010
"26.02.2011","Kaiserslautern - Hamburger SV","1:1",2010
"26.02.2011","Schalke - Nurnberg","1:1",2010
"26.02.2011","St. Pauli - Hannover","0:1",2010
"25.02.2011","Wolfsburg - B. Monchengladbach","2:1",2010
"20.02.2011","Bayer Leverkusen - Stuttgart","4:2",2010
"20.02.2011","B. Monchengladbach - Schalke","2:1",2010
"19.02.2011","Dortmund - St. Pauli","2:0",2010
"19.02.2011","Freiburg - Wolfsburg","2:1",2010
"19.02.2011","Hamburger SV - Werder Bremen","4:0",2010
