"Date","Match","Score","saison"
"21.05.2017","Atl. Madrid - Ath Bilbao","3:1",2016
"21.05.2017","Barcelona - Eibar","4:2",2016
"21.05.2017","Celta Vigo - Real Sociedad","2:2",2016
"21.05.2017","Malaga - Real Madrid","0:2",2016
"21.05.2017","Valencia - Villarreal","1:3",2016
"20.05.2017","Dep. La Coruna - Las Palmas","3:0",2016
"20.05.2017","Gijon - Betis","2:2",2016
"20.05.2017","Leganes - Alaves","1:1",2016
"20.05.2017","Sevilla - Osasuna","5:0",2016
"19.05.2017","Granada CF - Espanyol","1:2",2016
"17.05.2017","Celta Vigo - Real Madrid","1:4",2016
"14.05.2017","Alaves - Celta Vigo","3:1",2016
"14.05.2017","Ath Bilbao - Leganes","1:1",2016
"14.05.2017","Betis - Atl. Madrid","1:1",2016
"14.05.2017","Eibar - Gijon","0:1",2016
"14.05.2017","Las Palmas - Barcelona","1:4",2016
"14.05.2017","Real Madrid - Sevilla","4:1",2016
"14.05.2017","Real Sociedad - Malaga","2:2",2016
"14.05.2017","Villarreal - Dep. La Coruna","0:0",2016
"13.05.2017","Espanyol - Valencia","0:1",2016
"13.05.2017","Osasuna - Granada CF","2:1",2016
"08.05.2017","Leganes - Betis","4:0",2016
"07.05.2017","Alaves - Ath Bilbao","1:0",2016
"07.05.2017","Dep. La Coruna - Espanyol","1:2",2016
"07.05.2017","Malaga - Celta Vigo","3:0",2016
"07.05.2017","Valencia - Osasuna","4:1",2016
"06.05.2017","Atl. Madrid - Eibar","1:0",2016
"06.05.2017","Barcelona - Villarreal","4:1",2016
"06.05.2017","Gijon - Las Palmas","1:0",2016
"06.05.2017","Granada CF - Real Madrid","0:4",2016
"05.05.2017","Sevilla - Real Sociedad","1:1",2016
"01.05.2017","Malaga - Sevilla","4:2",2016
"30.04.2017","Betis - Alaves","1:4",2016
"30.04.2017","Celta Vigo - Ath Bilbao","0:3",2016
"30.04.2017","Eibar - Leganes","2:0",2016
"30.04.2017","Osasuna - Dep. La Coruna","2:2",2016
"29.04.2017","Espanyol - Barcelona","0:3",2016
"29.04.2017","Las Palmas - Atl. Madrid","0:5",2016
"29.04.2017","Real Madrid - Valencia","2:1",2016
"29.04.2017","Real Sociedad - Granada CF","2:1",2016
"28.04.2017","Villarreal - Gijon","3:1",2016
"27.04.2017","Alaves - Eibar","0:0",2016
"27.04.2017","Ath Bilbao - Betis","2:1",2016
"27.04.2017","Sevilla - Celta Vigo","2:1",2016
"26.04.2017","Barcelona - Osasuna","7:1",2016
"26.04.2017","Dep. La Coruna - Real Madrid","2:6",2016
"26.04.2017","Leganes - Las Palmas","3:0",2016
"26.04.2017","Valencia - Real Sociedad","2:3",2016
"25.04.2017","Atl. Madrid - Villarreal","0:1",2016
"25.04.2017","Gijon - Espanyol","1:1",2016
"25.04.2017","Granada CF - Malaga","0:2",2016
"24.04.2017","Eibar - Ath Bilbao","0:1",2016
"23.04.2017","Celta Vigo - Betis","0:1",2016
"23.04.2017","Las Palmas - Alaves","1:1",2016
"23.04.2017","Real Madrid - Barcelona","2:3",2016
"23.04.2017","Real Sociedad - Dep. La Coruna","1:0",2016
"22.04.2017","Espanyol - Atl. Madrid","0:1",2016
"22.04.2017","Malaga - Valencia","2:0",2016
"22.04.2017","Osasuna - Gijon","2:2",2016
"22.04.2017","Villarreal - Leganes","2:1",2016
"21.04.2017","Sevilla - Granada CF","2:0",2016
"17.04.2017","Alaves - Villarreal","2:1",2016
"16.04.2017","Betis - Eibar","2:0",2016
"16.04.2017","Granada CF - Celta Vigo","0:3",2016
"16.04.2017","Leganes - Espanyol","0:1",2016
"16.04.2017","Valencia - Sevilla","0:0",2016
"15.04.2017","Atl. Madrid - Osasuna","3:0",2016
"15.04.2017","Barcelona - Real Sociedad","3:2",2016
"15.04.2017","Dep. La Coruna - Malaga","2:0",2016
"15.04.2017","Gijon - Real Madrid","2:3",2016
"14.04.2017","Ath Bilbao - Las Palmas","5:1",2016
"10.04.2017","Real Sociedad - Gijon","3:1",2016
"09.04.2017","Celta Vigo - Eibar","0:2",2016
"09.04.2017","Granada CF - Valencia","1:3",2016
"09.04.2017","Las Palmas - Betis","4:1",2016
"09.04.2017","Osasuna - Leganes","2:1",2016
"08.04.2017","Espanyol - Alaves","1:0",2016
"08.04.2017","Malaga - Barcelona","2:0",2016
"08.04.2017","Real Madrid - Atl. Madrid","1:1",2016
"08.04.2017","Sevilla - Dep. La Coruna","4:2",2016
"07.04.2017","Villarreal - Ath Bilbao","3:1",2016
"06.04.2017","Eibar - Las Palmas","3:1",2016
"06.04.2017","Valencia - Celta Vigo","3:2",2016
"05.04.2017","Alaves - Osasuna","0:1",2016
"05.04.2017","Barcelona - Sevilla","3:0",2016
"05.04.2017","Dep. La Coruna - Granada CF","0:0",2016
"05.04.2017","Gijon - Malaga","0:1",2016
"05.04.2017","Leganes - Real Madrid","2:4",2016
"04.04.2017","Ath Bilbao - Espanyol","2:0",2016
"04.04.2017","Atl. Madrid - Real Sociedad","1:0",2016
"04.04.2017","Betis - Villarreal","0:1",2016
"03.04.2017","Celta Vigo - Las Palmas","3:1",2016
"02.04.2017","Granada CF - Barcelona","1:4",2016
"02.04.2017","Real Madrid - Alaves","3:0",2016
"02.04.2017","Sevilla - Gijon","0:0",2016
"02.04.2017","Valencia - Dep. La Coruna","3:0",2016
"01.04.2017","Malaga - Atl. Madrid","0:2",2016
"01.04.2017","Osasuna - Ath Bilbao","1:2",2016
"01.04.2017","Real Sociedad - Leganes","1:1",2016
"01.04.2017","Villarreal - Eibar","2:3",2016
"31.03.2017","Espanyol - Betis","2:1",2016
"19.03.2017","Atl. Madrid - Sevilla","3:1",2016
"19.03.2017","Barcelona - Valencia","4:2",2016
"19.03.2017","Dep. La Coruna - Celta Vigo","0:1",2016
"19.03.2017","Gijon - Granada CF","3:1",2016
"19.03.2017","Leganes - Malaga","0:0",2016
"18.03.2017","Alaves - Real Sociedad","1:0",2016
"18.03.2017","Ath Bilbao - Real Madrid","1:2",2016
"18.03.2017","Betis - Osasuna","2:0",2016
"18.03.2017","Eibar - Espanyol","1:1",2016
"17.03.2017","Las Palmas - Villarreal","1:0",2016
"13.03.2017","Osasuna - Eibar","1:1",2016
"12.03.2017","Celta Vigo - Villarreal","0:1",2016
"12.03.2017","Dep. La Coruna - Barcelona","2:1",2016
"12.03.2017","Real Madrid - Betis","2:1",2016
"12.03.2017","Real Sociedad - Ath Bilbao","0:2",2016
