"Date","Match","Score","saison"
"29.05.2011","Arles-Avignon - Sochaux","1:3",2010
"29.05.2011","Bordeaux - Montpellier","2:0",2010
"29.05.2011","Brest - Toulouse","0:2",2010
"29.05.2011","Caen - Marseille","2:2",2010
"29.05.2011","Lille - Rennes","3:2",2010
"29.05.2011","Lorient - Auxerre","1:2",2010
"29.05.2011","Monaco - Lyon","0:2",2010
"29.05.2011","Nancy - Lens","4:0",2010
"29.05.2011","St Etienne - Paris SG","1:1",2010
"29.05.2011","Valenciennes - Nice","2:1",2010
"21.05.2011","Auxerre - Brest","0:1",2010
"21.05.2011","Lens - Arles-Avignon","0:1",2010
"21.05.2011","Lyon - Caen","0:0",2010
"21.05.2011","Marseille - Valenciennes","2:2",2010
"21.05.2011","Montpellier - Monaco","0:1",2010
"21.05.2011","Nice - Lorient","2:0",2010
"21.05.2011","Paris SG - Lille","2:2",2010
"21.05.2011","Rennes - Nancy","0:2",2010
"21.05.2011","Sochaux - St Etienne","2:1",2010
"21.05.2011","Toulouse - Bordeaux","2:0",2010
"18.05.2011","Bordeaux - Paris SG","1:0",2010
"18.05.2011","Lille - Sochaux","1:0",2010
"16.05.2011","Brest - Lyon","1:1",2010
"15.05.2011","Arles-Avignon - Toulouse","1:0",2010
"15.05.2011","Caen - Montpellier","2:0",2010
"15.05.2011","Lorient - Marseille","2:2",2010
"15.05.2011","Monaco - Lens","1:1",2010
"15.05.2011","Nancy - Nice","3:0",2010
"15.05.2011","St Etienne - Rennes","1:2",2010
"15.05.2011","Valenciennes - Auxerre","1:1",2010
"11.05.2011","Auxerre - Lyon","4:0",2010
"11.05.2011","Lens - Bordeaux","1:0",2010
"11.05.2011","Marseille - Brest","3:0",2010
"11.05.2011","Montpellier - Lorient","3:1",2010
"11.05.2011","Nice - Arles-Avignon","3:2",2010
"11.05.2011","Rennes - Caen","1:1",2010
"11.05.2011","Sochaux - Monaco","3:0",2010
"11.05.2011","Toulouse - Valenciennes","0:0",2010
"10.05.2011","Paris SG - Nancy","2:2",2010
"10.05.2011","St Etienne - Lille","1:2",2010
"08.05.2011","Lyon - Marseille","3:2",2010
"08.05.2011","Valenciennes - Rennes","2:0",2010
"07.05.2011","Arles-Avignon - St Etienne","0:1",2010
"07.05.2011","Auxerre - Montpellier","1:0",2010
"07.05.2011","Bordeaux - Sochaux","0:4",2010
"07.05.2011","Brest - Nice","0:0",2010
"07.05.2011","Caen - Lens","1:1",2010
"07.05.2011","Lorient - Toulouse","0:0",2010
"07.05.2011","Monaco - Paris SG","1:1",2010
