"Date","Match","Score","saison"
"22.05.2011","AS Roma - Sampdoria","3:1",2010
"22.05.2011","Bologna - Bari","0:4",2010
"22.05.2011","Brescia - Fiorentina","2:2",2010
"22.05.2011","Cagliari - Parma","1:1",2010
"22.05.2011","Genoa - Cesena","3:2",2010
"22.05.2011","Inter - Catania","3:1",2010
"22.05.2011","Juventus - Napoli","2:2",2010
"22.05.2011","Lecce - Lazio","2:4",2010
"22.05.2011","Palermo - Chievo","1:3",2010
"22.05.2011","Udinese - AC Milan","0:0",2010
"15.05.2011","Bari - Lecce","0:2",2010
"15.05.2011","Catania - AS Roma","2:1",2010
"15.05.2011","Cesena - Brescia","1:0",2010
"15.05.2011","Chievo - Udinese","0:2",2010
"15.05.2011","Fiorentina - Bologna","1:1",2010
"15.05.2011","Napoli - Inter","1:1",2010
"15.05.2011","Parma - Juventus","1:0",2010
"15.05.2011","Sampdoria - Palermo","1:2",2010
"14.05.2011","AC Milan - Cagliari","4:1",2010
"14.05.2011","Lazio - Genoa","4:2",2010
"09.05.2011","Juventus - Chievo","2:2",2010
"08.05.2011","Bologna - Parma","0:0",2010
"08.05.2011","Brescia - Catania","1:2",2010
"08.05.2011","Cagliari - Cesena","0:2",2010
"08.05.2011","Genoa - Sampdoria","2:1",2010
"08.05.2011","Inter - Fiorentina","3:1",2010
"08.05.2011","Lecce - Napoli","2:1",2010
"08.05.2011","Udinese - Lazio","2:1",2010
"07.05.2011","AS Roma - AC Milan","0:0",2010
"07.05.2011","Palermo - Bari","2:1",2010
"02.05.2011","Lazio - Juventus","0:1",2010
"01.05.2011","AC Milan - Bologna","1:0",2010
"01.05.2011","Bari - AS Roma","2:3",2010
"01.05.2011","Catania - Cagliari","2:0",2010
"01.05.2011","Chievo - Lecce","1:0",2010
"01.05.2011","Fiorentina - Udinese","",2010
"01.05.2011","Parma - Palermo","3:1",2010
"01.05.2011","Sampdoria - Brescia","3:3",2010
"30.04.2011","Cesena - Inter","1:2",2010
"30.04.2011","Napoli - Genoa","1:0",2010
"23.04.2011","AS Roma - Chievo","1:0",2010
"23.04.2011","Bari - Sampdoria","",2010
"23.04.2011","Bologna - Cesena","0:2",2010
"23.04.2011","Brescia - AC Milan","0:1",2010
"23.04.2011","Cagliari - Fiorentina","1:2",2010
"23.04.2011","Genoa - Lecce","4:2",2010
"23.04.2011","Inter - Lazio","2:1",2010
"23.04.2011","Juventus - Catania","2:2",2010
"23.04.2011","Palermo - Napoli","2:1",2010
"23.04.2011","Udinese - Parma","0:2",2010
"17.04.2011","Catania - Lazio","1:4",2010
"17.04.2011","Cesena - Bari","1:0",2010
"17.04.2011","Chievo - Bologna","2:0",2010
"17.04.2011","Fiorentina - Juventus","0:0",2010
"17.04.2011","Genoa - Brescia","3:0",2010
"17.04.2011","Lecce - Cagliari","3:3",2010
"17.04.2011","Napoli - Udinese","1:2",2010
"16.04.2011","AC Milan - Sampdoria","3:0",2010
"16.04.2011","AS Roma - Palermo","2:3",2010
"16.04.2011","Parma - Inter","2:0",2010
"10.04.2011","Bari - Catania","1:1",2010
"10.04.2011","Bologna - Napoli","0:2",2010
"10.04.2011","Cagliari - Brescia","1:1",2010
"10.04.2011","Fiorentina - AC Milan","1:2",2010
"10.04.2011","Juventus - Genoa","3:2",2010
"10.04.2011","Lazio - Parma","2:0",2010
"10.04.2011","Palermo - Cesena","2:2",2010
"10.04.2011","Sampdoria - Lecce","1:2",2010
"09.04.2011","Inter - Chievo","2:0",2010
"09.04.2011","Udinese - AS Roma","1:2",2010
"03.04.2011","AS Roma - Juventus","0:2",2010
"03.04.2011","Catania - Palermo","4:0",2010
"03.04.2011","Cesena - Fiorentina","2:2",2010
"03.04.2011","Chievo - Sampdoria","0:0",2010
"03.04.2011","Genoa - Cagliari","0:1",2010
"03.04.2011","Lecce - Udinese","2:0",2010
"03.04.2011","Napoli - Lazio","4:3",2010
"03.04.2011","Parma - Bari","1:2",2010
"02.04.2011","AC Milan - Inter","3:0",2010
"02.04.2011","Brescia - Bologna","3:1",2010
"20.03.2011","Bari - Chievo","1:2",2010
"20.03.2011","Bologna - Genoa","1:1",2010
"20.03.2011","Fiorentina - AS Roma","2:2",2010
"20.03.2011","Inter - Lecce","1:0",2010
"20.03.2011","Juventus - Brescia","2:1",2010
"20.03.2011","Napoli - Cagliari","2:1",2010
"20.03.2011","Sampdoria - Parma","0:1",2010
"20.03.2011","Udinese - Catania","2:0",2010
"19.03.2011","Lazio - Cesena","1:0",2010
"19.03.2011","Palermo - AC Milan","1:0",2010
"13.03.2011","AC Milan - Bari","1:1",2010
"13.03.2011","AS Roma - Lazio","2:0",2010
"13.03.2011","Cagliari - Udinese","0:4",2010
"13.03.2011","Catania - Sampdoria","1:0",2010
"13.03.2011","Chievo - Fiorentina","0:1",2010
"13.03.2011","Genoa - Palermo","1:0",2010
"13.03.2011","Lecce - Bologna","0:1",2010
"13.03.2011","Parma - Napoli","1:3",2010
"12.03.2011","Cesena - Juventus","2:2",2010
"11.03.2011","Brescia - Inter","1:1",2010
"06.03.2011","Bologna - Cagliari","2:2",2010
"06.03.2011","Chievo - Parma","0:0",2010
"06.03.2011","Fiorentina - Catania","3:0",2010
"06.03.2011","Inter - Genoa","5:2",2010
"06.03.2011","Lazio - Palermo","2:0",2010
"06.03.2011","Napoli - Brescia","0:0",2010
"06.03.2011","Sampdoria - Cesena","2:3",2010
"06.03.2011","Udinese - Bari","1:0",2010
"05.03.2011","Juventus - AC Milan","0:1",2010
"04.03.2011","Lecce - AS Roma","1:2",2010
"28.02.2011","AC Milan - Napoli","3:0",2010
"27.02.2011","AS Roma - Parma","2:2",2010
"27.02.2011","Bari - Fiorentina","1:1",2010
"27.02.2011","Brescia - Lecce","2:2",2010
"27.02.2011","Cagliari - Lazio","1:0",2010
"27.02.2011","Catania - Genoa","2:1",2010
"27.02.2011","Cesena - Chievo","1:0",2010
"27.02.2011","Palermo - Udinese","0:7",2010
"27.02.2011","Sampdoria - Inter","0:2",2010
"26.02.2011","Juventus - Bologna","0:2",2010
"23.02.2011","Bologna - AS Roma","0:1",2010
"20.02.2011","Chievo - AC Milan","1:2",2010
"20.02.2011","Fiorentina - Sampdoria","0:0",2010
"20.02.2011","Genoa - AS Roma","4:3",2010
"20.02.2011","Lazio - Bari","1:0",2010
"20.02.2011","Lecce - Juventus","2:0",2010
"20.02.2011","Napoli - Catania","1:0",2010
"20.02.2011","Parma - Cesena","2:2",2010
"20.02.2011","Udinese - Brescia","0:0",2010
"19.02.2011","Bologna - Palermo","1:0",2010
"19.02.2011","Inter - Cagliari","1:0",2010
"16.02.2011","Fiorentina - Inter","1:2",2010
"16.02.2011","Sampdoria - Genoa","0:1",2010
"13.02.2011","Bari - Genoa","0:0",2010
"13.02.2011","Brescia - Lazio","0:2",2010
"13.02.2011","Cagliari - Chievo","4:1",2010
"13.02.2011","Catania - Lecce","3:2",2010
"13.02.2011","Cesena - Udinese","0:3",2010
"13.02.2011","Juventus - Inter","1:0",2010
"13.02.2011","Palermo - Fiorentina","2:4",2010
"13.02.2011","Sampdoria - Bologna","3:1",2010
"12.02.2011","AC Milan - Parma","4:0",2010
"12.02.2011","AS Roma - Napoli","0:2",2010
"06.02.2011","Bologna - Catania","1:0",2010
"06.02.2011","Brescia - Bari","2:0",2010
"06.02.2011","Genoa - AC Milan","1:1",2010
"06.02.2011","Inter - AS Roma","5:3",2010
"06.02.2011","Lazio - Chievo","1:1",2010
"06.02.2011","Lecce - Palermo","2:4",2010
"06.02.2011","Napoli - Cesena","2:0",2010
"06.02.2011","Parma - Fiorentina","1:1",2010
"05.02.2011","Cagliari - Juventus","1:3",2010
"05.02.2011","Udinese - Sampdoria","2:0",2010
"03.02.2011","Bari - Inter","0:3",2010
"02.02.2011","AS Roma - Brescia","1:1",2010
"02.02.2011","Cesena - Catania","1:1",2010
"02.02.2011","Chievo - Napoli","2:0",2010
"02.02.2011","Fiorentina - Genoa","1:0",2010
"02.02.2011","Palermo - Juventus","2:1",2010
"02.02.2011","Parma - Lecce","0:1",2010
"02.02.2011","Sampdoria - Cagliari","0:1",2010
"02.02.2011","Udinese - Bologna","1:1",2010
"01.02.2011","AC Milan - Lazio","0:0",2010
"30.01.2011","Brescia - Chievo","0:3",2010
"30.01.2011","Cagliari - Bari","2:1",2010
"30.01.2011","Genoa - Parma","3:1",2010
"30.01.2011","Inter - Palermo","3:2",2010
"30.01.2011","Juventus - Udinese","1:2",2010
"30.01.2011","Lecce - Cesena","1:1",2010
"30.01.2011","Napoli - Sampdoria","4:0",2010
"29.01.2011","Catania - AC Milan","0:2",2010
"29.01.2011","Lazio - Fiorentina","2:0",2010
"23.01.2011","AC Milan - Cesena","2:0",2010
"23.01.2011","Bari - Napoli","0:2",2010
"23.01.2011","Bologna - Lazio","3:1",2010
"23.01.2011","Chievo - Genoa","",2010
"23.01.2011","Fiorentina - Lecce","1:1",2010
"23.01.2011","Sampdoria - Juventus","0:0",2010
"23.01.2011","Udinese - Inter","3:1",2010
"22.01.2011","AS Roma - Cagliari","3:0",2010
"22.01.2011","Palermo - Brescia","1:0",2010
"22.01.2011","Parma - Catania","2:0",2010
"19.01.2011","Inter - Cesena","3:2",2010
"16.01.2011","Brescia - Parma","2:0",2010
"16.01.2011","Cagliari - Palermo","3:1",2010
"16.01.2011","Catania - Chievo","1:1",2010
"16.01.2011","Cesena - AS Roma","0:1",2010
"16.01.2011","Genoa - Udinese","2:4",2010
"16.01.2011","Juventus - Bari","2:1",2010
"16.01.2011","Lazio - Sampdoria","1:0",2010
"16.01.2011","Lecce - AC Milan","1:1",2010
"15.01.2011","Inter - Bologna","4:1",2010
"15.01.2011","Napoli - Fiorentina","0:0",2010
"09.01.2011","AC Milan - Udinese","4:4",2010
"09.01.2011","Bari - Bologna","0:2",2010
"09.01.2011","Catania - Inter","1:2",2010
"09.01.2011","Cesena - Genoa","0:0",2010
"09.01.2011","Chievo - Palermo","0:0",2010
"09.01.2011","Fiorentina - Brescia","3:2",2010
"09.01.2011","Lazio - Lecce","1:2",2010
"09.01.2011","Napoli - Juventus","3:0",2010
"09.01.2011","Parma - Cagliari","1:2",2010
"09.01.2011","Sampdoria - AS Roma","2:1",2010
"06.01.2011","AS Roma - Catania","4:2",2010
"06.01.2011","Bologna - Fiorentina","1:1",2010
"06.01.2011","Brescia - Cesena","1:2",2010
"06.01.2011","Cagliari - AC Milan","0:1",2010
"06.01.2011","Genoa - Lazio","0:0",2010
"06.01.2011","Inter - Napoli","3:1",2010
"06.01.2011","Juventus - Parma","1:4",2010
"06.01.2011","Lecce - Bari","0:1",2010
"06.01.2011","Palermo - Sampdoria","3:0",2010
"06.01.2011","Udinese - Chievo","2:0",2010
"19.12.2010","Bari - Palermo","1:1",2010
"19.12.2010","Catania - Brescia","1:0",2010
"19.12.2010","Chievo - Juventus","1:1",2010
"19.12.2010","Lazio - Udinese","3:2",2010
"19.12.2010","Napoli - Lecce","1:0",2010
"19.12.2010","Parma - Bologna","0:0",2010
"18.12.2010","AC Milan - AS Roma","0:1",2010
"18.12.2010","Cesena - Cagliari","1:0",2010
"12.12.2010","AS Roma - Bari","0:0",2010
"12.12.2010","Bologna - AC Milan","0:3",2010
"12.12.2010","Brescia - Sampdoria","1:0",2010
"12.12.2010","Cagliari - Catania","3:0",2010
"12.12.2010","Juventus - Lazio","2:1",2010
